TX,11.539863143,290466.603460959,4640621.365467132,1.200000000,364,7,1
TX,11.609250357,273672.150420964,4630701.515361562,1.200000000,1278,12,1
TX,11.641082591,292529.796761117,4642918.616041748,1.200000000,1294,12,1
TX,11.698005426,292659.412236387,4641794.732609451,1.200000000,126,12,1
TX,11.747611487,292471.322359152,4641395.665519087,1.200000000,1642,12,1
TX,11.905356188,291037.308552377,4644009.542124790,1.200000000,86,12,1
TX,11.934605539,292375.053934174,4641541.421602808,1.200000000,1334,12,1
TX,12.528921828,292211.873129037,4638290.950997362,1.200000000,200,12,1
TX,12.653222734,294138.943570283,4647422.769840647,1.200000000,1301,12,1
TX,12.655343425,273640.466044248,4630677.812220909,1.200000000,1031,12,1
TX,12.777070318,290882.397554905,4647072.786841837,1.200000000,1961,12,1
TX,12.906650915,291898.709648284,4642581.607643657,1.200000000,864,12,1
TX,12.984129740,294125.625454052,4647419.896581416,1.200000000,1299,12,1
TX,13.001675439,294824.147507626,4644862.948328669,1.200000000,1236,12,1
TX,13.082060548,273757.064072103,4630738.490522001,1.200000000,2079,12,1
TX,13.095675484,292782.976845494,4642163.568863703,1.200000000,791,12,1
TX,13.407826584,290354.994082948,4646159.619332172,1.200000000,297,12,1
TX,13.481914788,291993.795547541,4643716.444439678,1.200000000,725,12,1
TX,13.570474000,292674.094779422,4641792.166476732,1.200000000,283,12,1
TX,13.821324118,292515.293092825,4642910.220506885,1.200000000,17,12,1
TX,13.852488035,272057.744960644,4630384.013263537,1.200000000,1203,12,1
TX,13.957485976,295657.827942734,4645580.594726769,1.200000000,1437,12,1
TX,14.054581109,293333.752904455,4644289.712633801,1.200000000,879,12,1
TX,14.090967511,273700.671003881,4630712.562669590,1.200000000,2159,12,1
TX,14.133631191,291072.005422251,4644036.737875231,1.200000000,641,12,1
TX,14.157948211,291978.793500032,4643689.506063037,1.200000000,300,12,1
TX,14.210579859,291992.514006260,4643702.936304523,1.200000000,53,12,1
TX,14.473303433,273699.468556850,4630642.841920404,1.200000000,1863,12,1
TX,14.554628503,292153.422186757,4644179.228281628,1.200000000,1862,12,1
TX,14.575132525,291826.208037121,4642542.466154833,1.200000000,2157,12,1
TX,14.719547275,293855.593850544,4639526.472260367,1.200000000,852,12,1
TX,14.845508706,291893.500269068,4642570.557145897,1.200000000,2051,12,1
TX,14.869551847,292393.795959477,4637294.564690030,1.200000000,557,12,1
TX,14.985010404,294961.360236601,4642702.051799349,1.200000000,1233,9,1
TX,15.202232744,290500.572585610,4644622.990587709,1.200000000,1938,12,1
TX,15.245702762,292320.118523095,4642058.695707215,1.200000000,734,12,1
TX,15.411256604,291178.753890684,4640450.401032642,1.200000000,1870,8,1
TX,15.461061176,294058.243578517,4641086.035254007,1.200000000,840,12,1
TX,15.528022109,292519.733094688,4642909.715880067,1.200000000,60,12,1
TX,15.581663148,290642.820478406,4646616.903047561,1.200000000,1384,12,1
TX,15.585998688,290344.096421772,4641433.173883441,1.200000000,1512,7,1
TX,15.651046241,295682.006765619,4645602.111078953,1.200000000,1721,12,1
TX,16.091087797,293032.365041504,4642324.231724368,1.200000000,362,12,1
TX,16.179884636,298377.375182957,4636659.301787013,1.200000000,1652,12,1
TX,16.331886266,291987.797034883,4643713.634758459,1.200000000,423,12,1
TX,16.497195076,286735.117335256,4641808.110387608,1.200000000,373,12,1
TX,16.664203807,290674.004001896,4646590.408490023,1.200000000,1948,12,1
TX,17.025597682,290700.396100505,4637438.780699998,1.200000000,1316,12,1
TX,17.076121003,294859.093660571,4647069.651835305,1.200000000,2130,12,1
TX,17.269864653,291872.788739476,4641641.860608025,1.200000000,1589,11,1
TX,17.338130997,291731.732020783,4642144.521375193,1.200000000,1723,12,1
TX,17.543983144,295778.622270678,4646259.951127672,1.200000000,1440,12,1
TX,17.765949083,291045.902318085,4644049.564812873,1.200000000,747,12,1
TX,17.837848353,292401.837472193,4637334.170746932,1.200000000,1975,12,1
TX,17.906799149,292534.554893668,4642923.284837026,1.200000000,1680,12,1
TX,18.037438241,293714.756272325,4645345.864938105,1.200000000,390,12,1
TX,18.258647503,294970.242206269,4642734.021349010,1.200000000,1411,9,1
TX,18.303531898,289321.514440645,4639764.359490757,1.200000000,1526,9,1
TX,18.335345553,293228.365193287,4643136.904651091,1.200000000,1778,12,1
TX,18.445118245,273674.623680396,4630698.158226823,1.200000000,1691,12,1
TX,18.628370057,292395.973559787,4637288.926047398,1.200000000,555,12,1
TX,18.689871716,295135.814862515,4642699.713345031,1.200000000,1433,8,1
TX,18.691600204,291707.929866193,4642127.051955847,1.200000000,1719,12,1
